consulta,estrategia,posicion,paper_id,title,topic_label,puntaje,relevante,observacion
generative artificial intelligence and large language models,LSA,1,382,Generative AI and Large Language Models,IA Generativa,0.863369,Si,Aborda directamente la inteligencia artificial generativa y los grandes modelos de lenguaje.
generative artificial intelligence and large language models,LSA,2,174,"A Meta-Survey of Generative AI in Education: Trends, Challenges, and Research Directions",IA Generativa,0.566751,Si,"Presenta una revisión sobre tendencias, desafíos y aplicaciones de la inteligencia artificial generativa."
generative artificial intelligence and large language models,LSA,3,212,The Use of Large Language Models in Ophthalmology: A Scoping Review on Current Use-Cases and Considerations for Future Works in This Field,IA Generativa,0.501428,Si,Estudia directamente el uso de grandes modelos de lenguaje en el campo de la oftalmología.
generative artificial intelligence and large language models,LSA,4,343,"Generative AI as a General-Purpose Technology: Foundations, Applications, and Labor Market Implications Through 2030",IA Generativa,0.462888,Si,Analiza fundamentos y aplicaciones de la inteligencia artificial generativa.
generative artificial intelligence and large language models,LSA,5,250,Exploration of Generative Neural Networks for Police Facial Sketches,IA Generativa,0.407333,Si,Examina redes neuronales generativas aplicadas a la generación de retratos policiales.
generative artificial intelligence and large language models,TF-IDF,1,382,Generative AI and Large Language Models,IA Generativa,0.473562,Si,Aborda directamente la inteligencia artificial generativa y los grandes modelos de lenguaje.
generative artificial intelligence and large language models,TF-IDF,2,174,"A Meta-Survey of Generative AI in Education: Trends, Challenges, and Research Directions",IA Generativa,0.287761,Si,"Presenta una revisión sobre tendencias, desafíos y aplicaciones de la inteligencia artificial generativa."
generative artificial intelligence and large language models,TF-IDF,3,212,The Use of Large Language Models in Ophthalmology: A Scoping Review on Current Use-Cases and Considerations for Future Works in This Field,IA Generativa,0.189085,Si,Estudia directamente el uso de grandes modelos de lenguaje en el campo de la oftalmología.
generative artificial intelligence and large language models,TF-IDF,4,343,"Generative AI as a General-Purpose Technology: Foundations, Applications, and Labor Market Implications Through 2030",IA Generativa,0.165997,Si,Analiza fundamentos y aplicaciones de la inteligencia artificial generativa.
generative artificial intelligence and large language models,TF-IDF,5,250,Exploration of Generative Neural Networks for Police Facial Sketches,IA Generativa,0.161498,Si,Examina redes neuronales generativas aplicadas a la generación de retratos policiales.
machine learning for disease diagnosis,LSA,1,324,Design of an Efficient Model for Psychological Disease Analysis and Prediction Using Machine Learning and Genomic Data Samples,Machine Learning,0.57191,Si,Utiliza aprendizaje automático para analizar y predecir enfermedades psicológicas.
machine learning for disease diagnosis,LSA,2,445,Integrative Machine Learning Framework for Epigenetic Biomarker Discovery and Disease Severity Prediction in Childhood Atopic Dermatitis,Machine Learning,0.539588,Si,Aplica aprendizaje automático al descubrimiento de biomarcadores y a la predicción de gravedad de una enfermedad.
machine learning for disease diagnosis,LSA,3,28,Attention-Driven Deep Learning for News-Based Prediction of Disease Outbreaks,Machine Learning,0.427313,Si,Utiliza aprendizaje profundo para predecir brotes de enfermedades.
machine learning for disease diagnosis,LSA,4,192,Gait-Based Parkinson’s Disease Detection Using Recurrent Neural Networks for Wearable Systems,IA Generativa,0.40608,Si,Aplica redes neuronales para detectar la enfermedad de Parkinson.
machine learning for disease diagnosis,LSA,5,27,Efficient Data Augmentation Methods for Crop Disease Recognition in Sustainable Environmental Systems,Machine Learning,0.404614,Si,Emplea técnicas de aprendizaje automático para reconocer enfermedades en cultivos.
machine learning for disease diagnosis,TF-IDF,1,445,Integrative Machine Learning Framework for Epigenetic Biomarker Discovery and Disease Severity Prediction in Childhood Atopic Dermatitis,Machine Learning,0.201419,Si,Aplica aprendizaje automático al descubrimiento de biomarcadores y a la predicción de gravedad de una enfermedad.
machine learning for disease diagnosis,TF-IDF,2,324,Design of an Efficient Model for Psychological Disease Analysis and Prediction Using Machine Learning and Genomic Data Samples,Machine Learning,0.200134,Si,Utiliza aprendizaje automático para analizar y predecir enfermedades psicológicas.
machine learning for disease diagnosis,TF-IDF,3,28,Attention-Driven Deep Learning for News-Based Prediction of Disease Outbreaks,Machine Learning,0.18641,Si,Utiliza aprendizaje profundo para predecir brotes de enfermedades.
machine learning for disease diagnosis,TF-IDF,4,27,Efficient Data Augmentation Methods for Crop Disease Recognition in Sustainable Environmental Systems,Machine Learning,0.153743,Si,Emplea técnicas de aprendizaje automático para reconocer enfermedades en cultivos.
machine learning for disease diagnosis,TF-IDF,5,192,Gait-Based Parkinson’s Disease Detection Using Recurrent Neural Networks for Wearable Systems,IA Generativa,0.139009,Si,Aplica redes neuronales para detectar la enfermedad de Parkinson.
social media sentiment analysis,LSA,1,221,EmoBERTa-X: Advanced Emotion Classifier with Multi-Head Attention and DES for Multilabel Emotion Classification,Machine Learning,0.526608,Si,"Trata clasificación de emociones, una tarea estrechamente relacionada con el análisis de sentimiento."
social media sentiment analysis,LSA,2,216,An Attention-Based BERT–CNN–BiLSTM Model for Depression Detection from Emojis in Social Media Text,Otros,0.500286,Si,Analiza depresión a partir de emojis y textos de redes sociales.
social media sentiment analysis,LSA,3,497,"A Hybrid NER–Sentiment Model for Uzbek Texts: Integrating Lexical, Deep Learning, and Entity-Based Approaches",Machine Learning,0.47571,Si,Presenta directamente un modelo de análisis de sentimiento.
social media sentiment analysis,LSA,4,274,Explicit and Implicit Knowledge in Large-Scale Linguistic Data and Digital Footprints from Social Networks,IA Generativa,0.466924,Si,Analiza datos lingüísticos y huellas digitales procedentes de redes sociales.
social media sentiment analysis,LSA,5,426,SiAraSent: From Features to Deep Transformers for Large-Scale Arabic Sentiment Analysis,IA Generativa,0.412538,Si,Se centra directamente en análisis de sentimiento a gran escala.
social media sentiment analysis,TF-IDF,1,221,EmoBERTa-X: Advanced Emotion Classifier with Multi-Head Attention and DES for Multilabel Emotion Classification,Machine Learning,0.235488,Si,"Aborda clasificación de emociones, estrechamente relacionada con el análisis de sentimiento."
social media sentiment analysis,TF-IDF,2,497,"A Hybrid NER–Sentiment Model for Uzbek Texts: Integrating Lexical, Deep Learning, and Entity-Based Approaches",Machine Learning,0.200113,Si,Presenta directamente un modelo de análisis de sentimiento.
social media sentiment analysis,TF-IDF,3,327,Large Language Model-Based Topic-Level Sentiment Analysis for E-Grocery Consumer Reviews,IA Generativa,0.190449,Si,Realiza análisis de sentimiento sobre opiniones de consumidores.
social media sentiment analysis,TF-IDF,4,237,Explainable Deep Learning for COVID-19 Vaccine Sentiment in Arabic Tweets Using Multi-Self-Attention BiLSTM with XLNet,Machine Learning,0.182028,Si,Analiza sentimiento en publicaciones de Twitter sobre vacunas.
social media sentiment analysis,TF-IDF,5,216,An Attention-Based BERT–CNN–BiLSTM Model for Depression Detection from Emojis in Social Media Text,Otros,0.179914,Si,Estudia textos y emojis de redes sociales mediante modelos de clasificación.
statistical methods for prediction,LSA,1,456,Research on Modeling Method of eLoran Signal Propagation Delay Prediction Model: Integrating Path-Weighted Meteorological Data and Propagation Delay Data in Long-Distance Scenarios,Machine Learning,0.376638,Si,Desarrolla un modelo de predicción de retrasos a partir de datos meteorológicos y de propagación.
statistical methods for prediction,LSA,2,345,An Intelligent Evaluation Method for Slope Stability Based on a Database Integrating Real Cases and Numerical Simulations,Machine Learning,0.372859,Si,Propone un método de evaluación predictiva basado en datos reales y simulaciones.
statistical methods for prediction,LSA,3,131,Adversarial Perturbations for Defeating Cryptographic Algorithm Identification,Machine Learning,0.336025,No,"Se enfoca en perturbaciones adversariales para identificar algoritmos criptográficos, no en métodos estadísticos de predicción."
statistical methods for prediction,LSA,4,28,Attention-Driven Deep Learning for News-Based Prediction of Disease Outbreaks,Machine Learning,0.299917,Si,Aplica un modelo predictivo para anticipar brotes de enfermedades.
statistical methods for prediction,LSA,5,147,Crime Spatiotemporal Prediction Through Urban Region Representation by Using Building Footprints,Machine Learning,0.295448,Si,Trata directamente la predicción espaciotemporal del crimen.
statistical methods for prediction,TF-IDF,1,131,Adversarial Perturbations for Defeating Cryptographic Algorithm Identification,Machine Learning,0.127219,No,No aborda de forma directa métodos estadísticos para predicción.
statistical methods for prediction,TF-IDF,2,345,An Intelligent Evaluation Method for Slope Stability Based on a Database Integrating Real Cases and Numerical Simulations,Machine Learning,0.111412,Si,Desarrolla un método de evaluación predictiva a partir de datos y simulaciones.
statistical methods for prediction,TF-IDF,3,120,High-Speed Scientific Computing Using Adaptive Spline Interpolation,Estadística,0.099882,Si,"Utiliza interpolación adaptativa, una técnica matemática y estadística de aproximación."
statistical methods for prediction,TF-IDF,4,330,Pyramidal Predictive Network V2: An Improved Predictive Architecture and Training Strategies for Future Perception Prediction,Machine Learning,0.095089,Si,Presenta una arquitectura destinada a la predicción de percepción futura.
statistical methods for prediction,TF-IDF,5,205,Adaptive Segmentation and Statistical Analysis for Multivariate Big Data Forecasting,Estadística,0.092548,Si,Aborda explícitamente análisis estadístico y pronóstico de datos multivariados.
