"consulta","posicion","paper_id","title","authors","publication_date","topic_label","doi","enlace_doi","puntaje","fragmento","citations","estrategia"
"social media sentiment analysis",1,221,"EmoBERTa-X: Advanced Emotion Classifier with Multi-Head Attention and DES for Multilabel Emotion Classification","Farah Hassan Labib; Mazen Elagamy; Sherine Nagy Saleh",2025-02-19,"Machine Learning","10.3390/bdcc9020048","https://doi.org/10.3390/bdcc9020048",0.526608,"The rising prevalence of social media turns them into huge, rich repositories of human emotions. Understanding and categorizing human emotion from social media content is of fundamental importance for many reasons, such as improvement of user experience, monitoring of public senti...",18,"LSA con 200 componentes + similitud coseno"
"social media sentiment analysis",2,216,"An Attention-Based BERT–CNN–BiLSTM Model for Depression Detection from Emojis in Social Media Text","Joel Philip Thekkekara; Sira Yongchareon",2025-12-03,"Otros","10.3390/bdcc9120310","https://doi.org/10.3390/bdcc9120310",0.500286,"Depression represents a critical global mental health challenge, with social media offering unprecedented opportunities for early detection through computational analysis. We propose a novel BERT–CNN–BiLSTM architecture with attention mechanisms that systematically integrate emoji...",0,"LSA con 200 componentes + similitud coseno"
"social media sentiment analysis",3,497,"A Hybrid NER–Sentiment Model for Uzbek Texts: Integrating Lexical, Deep Learning, and Entity-Based Approaches","Bobur Saidov; Vladimir Barakhnin; Rakhmon Saparbaev; Zayniddin Narmuratov; Rustamova Manzura; Ruzmetova Zilolakhon; Anorgul Atajanova",2026-03-19,"Machine Learning","10.3390/bdcc10030092","https://doi.org/10.3390/bdcc10030092",0.47571,"...xtraction to capture affective signals that are often expressed non-verbally in social media texts. Next, we construct three complementary feature streams: a context encoder for sentence-level semantics, NER-driven entity features that encode entity mentions and types, and an emot...",0,"LSA con 200 componentes + similitud coseno"
"social media sentiment analysis",4,274,"Explicit and Implicit Knowledge in Large-Scale Linguistic Data and Digital Footprints from Social Networks","Maria Pilgun",2025-03-25,"IA Generativa","10.3390/bdcc9040075","https://doi.org/10.3390/bdcc9040075",0.466924,"...d implicit knowledge in large-scale linguistic data and digital footprints from social networks. This research aims to develop and test algorithms for analyzing both explicit and implicit information in user-generated content and digital interactions. A dataset of social media dis...",2,"LSA con 200 componentes + similitud coseno"
"social media sentiment analysis",5,426,"SiAraSent: From Features to Deep Transformers for Large-Scale Arabic Sentiment Analysis","Omar Almousa; Yahya Tashtoush; Anas AlSobeh; Plamen Zahariev; Omar Darwish",2026-02-03,"IA Generativa","10.3390/bdcc10020049","https://doi.org/10.3390/bdcc10020049",0.412538,"Sentiment analysis of Arabic text, particularly on social media platforms, presents a formidable set of unique challenges that stem from the language’s complex morphology, its numerous dialectal variations, and the frequent and nuanced use of emojis to convey emotional context. Th...",2,"LSA con 200 componentes + similitud coseno"
"cybersecurity intrusion detection",1,493,"Enhancing the Artificial Rabbit Optimizer Using Fuzzy Rule Interpolation","Mohammad Almseidin",2026-02-10,"Machine Learning","10.3390/bdcc10020057","https://doi.org/10.3390/bdcc10020057",0.603074,"...r effectiveness in solving complex optimization tasks, such as those related to Intrusion Detection Systems (IDSs). It was widely used to enhance the detection rate of various types of cyber attacks by reducing the feature space or tuning the model’s hyperparameters. The Artificia...",0,"LSA con 200 componentes + similitud coseno"
"cybersecurity intrusion detection",2,337,"A Novel Hybrid IGL1 Feature Selection Method for High-Performance Intrusion Detection on the UNSW-NB15 Dataset Using Multiple Machine Learning Models","Andri Saputra; Kalamullah Ramli; Anto Satriyo Nugroho; I Gde Dharma Nugraha; Bernardi Pranggono",2026-06-01,"Machine Learning","10.3390/bdcc10060182","https://doi.org/10.3390/bdcc10060182",0.59822,"Intrusion Detection Systems (IDSs) remain essential for securing modern network infrastructures, where traffic data are often high-dimensional and contain redundant or weakly informative attributes. This study proposes a hybrid feature selection approach that combines Information ...",0,"LSA con 200 componentes + similitud coseno"
"cybersecurity intrusion detection",3,394,"FedX: Privacy-Preserving Explainable Federated Ensemble Intrusion Detection System for Edge-Enabled Internet of Vehicles","Nithya Nedungadi; Sriram Sankaran; Krishnashree Achuthan",2026-05-16,"Otros","10.3390/bdcc10050160","https://doi.org/10.3390/bdcc10050160",0.580153,"... has expanded intelligent connectivity across embedded systems while increasing cybersecurity risks arising from large scale data exchange and device heterogeneity. As IoV environments become more dynamic and safety critical, centralized Intrusion Detection Systems (IDSs) face con...",0,"LSA con 200 componentes + similitud coseno"
"cybersecurity intrusion detection",4,319,"Neural Network IDS/IPS Intrusion Detection and Prevention System with Adaptive Online Training to Improve Corporate Network Cybersecurity, Evidence Recording, and Interaction with Law Enforcement Agencies","Serhii Vladov; Victoria Vysotska; Svitlana Vashchenko; Serhii Bolvinov; Serhii Glubochenko; Andrii Repchonok; Maksym Korniienko; Mariia Nazarkevych; Ruslan Herasymchuk",2025-10-22,"Machine Learning","10.3390/bdcc9110267","https://doi.org/10.3390/bdcc9110267",0.519135,"Thise article examines the reliable online detection and IDS/IPS intrusion prevention in dynamic corporate networks problems, where traditional signature-based methods fail to keep pace with new and evolving attacks, and streaming data is susceptible to drift and targeted “poisoni...",1,"LSA con 200 componentes + similitud coseno"
"cybersecurity intrusion detection",5,480,"A Comparative Study of Federated Learning and Amino Acid Encoding with IoT Malware Detection as a Case Study","Thaer AL Ibaisi; Stefan Kuhn; Muhammad Kazim; Ismail Kara; Turgay Altindag; Mujeeb Ur Rehman",2026-04-06,"Machine Learning","10.3390/bdcc10040111","https://doi.org/10.3390/bdcc10040111",0.493913,"...urity challenges, while privacy concerns limit centralized data aggregation for intrusion detection. Federated learning (FL) offers a decentralized alternative, yet the interaction between feature representation, model architecture, and data heterogeneity remains insufficiently un...",0,"LSA con 200 componentes + similitud coseno"
"statistical methods for prediction",1,456,"Research on Modeling Method of eLoran Signal Propagation Delay Prediction Model: Integrating Path-Weighted Meteorological Data and Propagation Delay Data in Long-Distance Scenarios","Tao Jin; Shiyao Liu; Baorong Yan; Xiang Jiang; Wei Guo; Yu Hua; Shougang Zhang; Lu Xu",2026-02-07,"Machine Learning","10.3390/bdcc10020054","https://doi.org/10.3390/bdcc10020054",0.376638,"...nced long-range navigation (eLoran) system serves as an important backup method for the global navigation satellite system (GNSS) system. In long-distance transmission scenarios, the signal propagation delay of the eLoran system is affected by fluctuations in meteorological factor...",0,"LSA con 200 componentes + similitud coseno"
"statistical methods for prediction",2,345,"An Intelligent Evaluation Method for Slope Stability Based on a Database Integrating Real Cases and Numerical Simulations","Junyi Jiang; Dong Li; Qingyi Yang; Zhenhua Zhang; Lei Wang; Wenru Zhao; Mingliang Chen",2026-03-12,"Machine Learning","10.3390/bdcc10030087","https://doi.org/10.3390/bdcc10030087",0.372859,"...literature mining, we established a database of 684 engineering cases. Based on statistical analysis of input parameters, a numerical simulation scheme was designed. Batch calculations were performed using MATLAB to determine simulation results. The engineering case database was t...",0,"LSA con 200 componentes + similitud coseno"
"statistical methods for prediction",3,131,"Adversarial Perturbations for Defeating Cryptographic Algorithm Identification","Shuijun Yin; Di Wu; Haolan Zhang; Heng Li; Zhiyuan Yao; Wei Yuan",2025-12-30,"Machine Learning","10.3390/bdcc10010013","https://doi.org/10.3390/bdcc10010013",0.336025,"...ers. CPSM constructs lightweight, reversible bit-level perturbations that alter statistical ciphertext features without affecting legitimate decryption. The method leverages class prototypes to capture representative bit-distribution patterns for each cryptographic algorithm and i...",0,"LSA con 200 componentes + similitud coseno"
"statistical methods for prediction",4,28,"Attention-Driven Deep Learning for News-Based Prediction of Disease Outbreaks","Avneet Singh Gautam; Zahid Raza; Maria Lapina; Mikhail Babenko",2025-11-14,"Machine Learning","10.3390/bdcc9110291","https://doi.org/10.3390/bdcc9110291",0.299917,"Natural Language Processing is being used for Disease Outbreak Prediction using news data. However, the available research focuses on predicting outbreaks for only specific diseases using disease-specific data such as COVID-19, Zika, SARS, MERS, and Ebola, etc. To address the chal...",1,"LSA con 200 componentes + similitud coseno"
"statistical methods for prediction",5,147,"Crime Spatiotemporal Prediction Through Urban Region Representation by Using Building Footprints","Tao Wang; Peng Chen; Miaoxuan Shan",2025-11-27,"Machine Learning","10.3390/bdcc9120301","https://doi.org/10.3390/bdcc9120301",0.295448,"...hat (1) the region representations significantly improve deep learning model performance, with the most improved LSTM achieving average increases of 5.66% in Macro-F1 and 18.57% in Micro-F1, particularly benefiting baseline models with lower accuracy, and (2) the region representa...",0,"LSA con 200 componentes + similitud coseno"
