journal_name,title,publication_date,year,doi,url,abstract,authors_raw,n_authors,citations,downloads,n_references,topic_label
Big Data and Cognitive Computing,DotA 2 Match Outcome Prediction System Using Decision Tree Ensemble Algorithms,2025-11-27,2025,10.3390/bdcc9120302,https://doi.org/10.3390/bdcc9120302,"<jats:p>This paper explores the replication of the DotA Plus prediction system using decision tree algorithms. The study implements and evaluates Extra Trees Classifier, Random Forest Classifier, and Hist Gradient Boosting Classifier, along with their combined average, for predicting the outcome of Defense of the Ancients (DotA) 2 matches. Data was collected using the OpenDotA API and the Steam API, and various features such as game duration, tower and barracks states, net-worth, assists, last hits, gold, level, gold per minute, and experience per minute were extracted for model training. Additionally, hero and item win rate features, derived from Dotabuff data, were incorporated to enhance the models’ predictive accuracy. The models were trained on datasets with varying match durations, including segments for matches under 10 min, between 10 and 20 min, and over 20 min. The experimental results show that the Extra Trees Classifier consistently outperformed other individual models and performed comparably to the averaged models, achieving a peak performance of 98.6% test accuracy on matches longer than 20 min when using match duration segmentation and hero/item embeddings. The study highlights the effectiveness of decision tree-based methods for real-time match outcome prediction in DotA 2 and offers insights into feature importance. The combined average of Extra Trees Classifier, Random Forest Classifier, and Hist Gradient Boosting Classifier models provides a robust and reliable prediction of DotA 2 match outcomes, thus showing potential as a real-time prediction system.</jats:p>",Sukhrob Yangibaev; Jamolbek Mattiev; Sello Mokwena,3,1,NA,20,Machine Learning
Big Data and Cognitive Computing,Complex Table Question Answering with Multiple Cells Recall Based on Extended Cell Semantic Matching,2025-10-20,2025,10.3390/bdcc9100265,https://doi.org/10.3390/bdcc9100265,"<jats:p>Tables, as a form of structured or semi-structured data, are widely found in documents, reports, and data manuals. Table-based question answering (TableQA) plays a key role in table document analysis and understanding. Existing approaches to TableQA can be broadly categorized into content-matching methods and end-to-end generation methods based on encoder–decoder deep neural networks. Content-matching methods return one or more table cells as answers, thereby preserving the original data and making them more suitable for downstream tasks. End-to-end methods, especially those leveraging large language models (LLMs), have achieved strong performance on various benchmarks. However, the variability in LLM-generated expressions and their heavy reliance on prompt engineering limit their applicability where answer fidelity to the source table is critical. In this work, we propose CBCM (Cell-by-Cell semantic Matching), a fine-grained cell-level matching method that extends the traditional row- and column-matching paradigm to improve accuracy and applicability in TableQA. Furthermore, based on the public IM-TQA dataset, we construct a new benchmark, IM-TQA-X, specifically designed for the multi-row and multi-column cell recall task, a scenario underexplored in existing state-of-the-art content-matching methods. Experimental results show that CBCM improves overall accuracy by 2.5% over the latest row- and column-matching method RGCNRCI (Relational Graph Convolutional Networks based Row and Column Intersection), and boosts accuracy in the multi-row and multi-column recall task from 4.3% to 34%.</jats:p>",Hainan Chen; Dongqi Shen,2,0,NA,33,IA Generativa
Big Data and Cognitive Computing,Enhancing POI Recognition with Micro-Level Tagging and Deep Learning,2025-11-15,2025,10.3390/bdcc9110293,https://doi.org/10.3390/bdcc9110293,"<jats:p>Background: Understanding visual context in images is essential for enhanced Point-of-Interest (POI) recommender systems. Traditional models often rely on global features, overlooking object-level information, which can limit contextual accuracy. Methods: This study introduces micro-level contextual tagging, a method for extracting metadata from individual objects in images, including object type, frequency, and color. This enriched information is used to train WORLDO, a Vision Transformer model designed for multi-task learning. The model performs scene classification, contextual tag prediction, and object presence detection. It is then integrated into a content-based recommender system that supports feature configurations. Results: The model was evaluated on its ability to classify scenes, predict tags, and detect objects within images. Ablation analysis confirmed the complementary role of tag, object, and scene features in representation learning, while benchmarking against CNN architectures showed the superior performance of the transformer-based model. Additionally, its integration with a POI recommender system demonstrated consistent performance across different feature settings. The recommender system produced relevant suggestions and maintained robustness even when specific components were disabled. Conclusions: Micro-level contextual tagging enhances the representation of scene context and supports more informative recommendations. WORLDO provides a practical framework for incorporating object-level semantics into POI applications through efficient visual modeling.</jats:p>",Paraskevas Messios; Ioanna Dionysiou; Harald Gjermundrød,3,0,NA,28,Machine Learning
Big Data and Cognitive Computing,Reusing ML Models in Dynamic Data Environments: Data Similarity-Based Approach for Efficient MLOps,2025-2-19,2025,10.3390/bdcc9020047,https://doi.org/10.3390/bdcc9020047,"<jats:p>The rapid integration of Machine Learning (ML) in organizational practices has driven demand for substantial computational resources, incurring both high economic costs and environmental impact, particularly from energy consumption. This challenge is amplified in dynamic data environments, where ML models must be frequently retrained to adapt to evolving data patterns. To address this, more sustainable Machine Learning Operations (MLOps) pipelines are needed for reducing environmental impacts while maintaining model accuracy. In this paper, we propose a model reuse approach based on data similarity metrics, which allows organizations to leverage previously trained models where applicable. We introduce a tailored set of meta-features to characterize data windows, enabling efficient similarity assessment between historical and new data. The effectiveness of the proposed method is validated across multiple ML tasks using the cosine and Bray–Curtis distance functions, which evaluate both model reuse rates and the performance of reused models relative to newly trained alternatives. The results indicate that the proposed approach can reduce the frequency of model retraining by up to 70% to 90% while maintaining or even improving predictive performance, contributing to more resource-efficient and sustainable MLOps practices.</jats:p>",Eduardo Peixoto; Diogo Torres; Davide Carneiro; Bruno Silva; Ruben Marques,5,1,NA,16,Machine Learning
Big Data and Cognitive Computing,Exploring Scientific Collaboration Patterns from the Perspective of Disciplinary Difference: Evidence from Scientific Literature Data,2025-8-1,2025,10.3390/bdcc9080201,https://doi.org/10.3390/bdcc9080201,"<jats:p>With the accelerating globalization and rapid development of science and technology, scientific collaboration has become a key driver of knowledge production, yet its patterns vary significantly across disciplines. This study aims to explore the disciplinary differences in scholars’ scientific collaboration patterns and their underlying mechanisms. Data were collected from the China National Knowledge Infrastructure (CNKI) database, covering papers from four disciplines: mathematics, mechanical engineering, philosophy, and sociology. Using social network analysis, we examined core network metrics (degree centrality, neighbor connectivity, clustering coefficient) in collaboration networks, analyzed collaboration patterns across scholars of different academic ages, and compared the academic age distribution of collaborators and network characteristics across career stages. Key findings include the following. (1) Mechanical engineering exhibits the highest and most stable clustering coefficient (mean 0.62) across all academic ages, reflecting tight team collaboration, with degree centrality increasing fastest with academic age (3.2 times higher for senior vs. beginner scholars), driven by its reliance on experimental resources and skill division. (2) Philosophy shows high degree centrality in early career stages (mean 0.38 for beginners) but a sharp decline in clustering coefficient in senior stages (from 0.42 to 0.17), indicating broad early collaboration but loose later ties due to individualized knowledge production. (3) Mathematics scholars prefer collaborating with high-centrality peers (higher neighbor connectivity, mean 0.51), while sociology shows more inclusive collaboration with dispersed partner centrality.</jats:p>",Jun Zhang; Shengbo Liu; Yifei Wang,3,0,NA,40,Otros
Big Data and Cognitive Computing,Importance of Data Preprocessing for Accurate and Effective Prediction of Breast Cancer: Evaluation of Model Performance in Novel Data,2025-10-21,2025,10.3390/bdcc9100266,https://doi.org/10.3390/bdcc9100266,"<jats:p>Breast cancer is one of the leading causes of mortality among women globally, and an early and accurate diagnosis is essential for effective treatment and improved survival rates. Traditional diagnostic techniques often struggle to differentiate between benign and malignant tumors due to overlapping visual characteristics, resulting in false positives or delayed detection. For efficient breast cancer detection with machine learning, it is vital to identify the most significant features because those features play the most important roles in the treatment process. This study addresses this challenge by evaluating and comparing the performance of ten state-of-the-art machine learning classifiers for breast cancer detection using image-derived features. Initially, 30 features were extracted from a novel tertiary hospital dataset, and models were evaluated based on accuracy, precision, recall, and F-measure. To enhance model performance and reduce dimensionality, the Correlation-based Feature Selection (CFS) method was applied, leading to the identification of 11 highly informative features. Our experimental results demonstrate that, while models such as SVM and Logistic Regression achieved the highest accuracy (97.7%) on the full feature set, the Neural Network exhibited a superior performance (97.2%) on the reduced feature set, with a substantial reduction in training time. Most classifiers maintained comparable or improved accuracy with fewer features, indicating effective dimensionality reduction. Furthermore, pairwise statistical significance testing confirmed that ensemble and kernel-based classifiers achieved a statistically superior performance over simpler models. These findings highlight the importance of effective feature selection in developing accurate, efficient, and scalable breast cancer prediction systems.</jats:p>",Vekani Baloyi; Jamolbek Mattiev; Sello Mokwena,3,1,NA,38,Machine Learning
Big Data and Cognitive Computing,"Association Between Mastication Pattern, Periodontal Condition, and Cognitive Condition—Investigation Using Large Database of Japanese Universal Healthcare System",2025-2-17,2025,10.3390/bdcc9020043,https://doi.org/10.3390/bdcc9020043,"<jats:p>The decline in oral health commonly occurs as a natural consequence of aging or due to various pathological factors. Tooth loss, which diminishes masticatory ability, has been associated with negative impacts on cognitive function. This observational study analyzed dental and medical records from Japan’s Universal Healthcare System (UHCS) national database to investigate the relationship between cognitive and oral disorders, focusing on periodontitis and decreased tooth-to-tooth contact between the maxillary and mandibular arches. A descriptive data analysis evaluated diagnostic codes for Alzheimer’s disease and cognitive impairment alongside dental treatment records from 2013 to 2018. The odds ratios for cognitive impairment in patients with partial loss of natural tooth contact were 1.6663 (p &lt; 0.05) for early elderly individuals (aged 65–75) and 1.5003 (p &lt; 0.0001) for advanced elderly individuals (over 75). Periodontally compromised patients had higher odds, with ratios of 1.3936 (p &lt; 0.0001) for early elderly individuals and 1.1888 (p &lt; 0.00001) for advanced elderly individuals, compared to their periodontally healthy counterparts. These findings suggest a potential link between cognitive health, natural tooth contact preservation, and periodontitis, with the loss of natural tooth contacts having the most significant impact on cognitive function.</jats:p>",Takahiko Shiba; Daisuke Sasaki; Juanna Xie; Chia-Yu Chen; Hiroyuki Tanaka; Shigemi Nagai,6,1,NA,41,Otros
Big Data and Cognitive Computing,"Benchmarking of Anomaly Detection Methods for Industry 4.0: Evaluation, Ranking, and Practical Recommendations",2025-5-13,2025,10.3390/bdcc9050128,https://doi.org/10.3390/bdcc9050128,"<jats:p>Quality control and predictive maintenance are two essential pillars of Industry 4.0, aiming to optimize production, reduce operational costs, and enhance system reliability. Real-time visual inspection ensures early detection of manufacturing defects, assembly errors, or texture inconsistencies, preventing defective products from reaching customers. Predictive maintenance leverages sensor data by analyzing vibrations, temperature, and pressure signals to anticipate failures and avoid production downtime. Image-based quality control has become critical in industries such as automotive, electronics, aerospace, and food processing, where visual appearance is a key quality indicator. Although advances in deep learning and computer vision have significantly improved anomaly detection, industrial deployments remain challenged by the scarcity of labeled anomalies and the variability of defects. These issues increasingly lead to the adoption of unsupervised methods and generative approaches, which, despite their effectiveness, introduce substantial computational complexity. We conduct a unified comparison of ten anomaly detection methods, categorizing them according to their reliance on synthetic anomaly generation and their detection strategy, either reconstruction-based or feature-based. All models are trained exclusively on normal data to mirror realistic industrial conditions. Our evaluation framework combines performance metrics such as recall, precision, and their harmonic mean, emphasizing the need to minimize false negatives that could lead to critical production failures. In addition, we assess environmental impact and hardware complexity to better guide method selection. Practical recommendations are provided to balance robustness, operational feasibility, and sustainability in industrial applications.</jats:p>",Aurélie Cools; Mohammed Amin Belarbi; Sidi Ahmed Mahmoudi,3,3,NA,17,IA Generativa
Big Data and Cognitive Computing,Machine Learning-Based Classification of Sulfide Mineral Spectral Emission in High Temperature Processes,2025-5-14,2025,10.3390/bdcc9050130,https://doi.org/10.3390/bdcc9050130,"<jats:p>Accurate classification of sulfide minerals during combustion is essential for optimizing pyrometallurgical processes such as flash smelting, where efficient combustion impacts resource utilization, energy efficiency, and emission control. This study presents a deep learning-based approach for classifying visible and near-infrared (VIS-NIR) emission spectra from the combustion of high-grade sulfide minerals. A one-dimensional convolutional neural network (1D-CNN) was developed and trained on experimentally acquired spectral data, achieving a balanced accuracy score of 99.0% in a test set. The optimized deep learning model outperformed conventional machine learning methods, highlighting the effectiveness of deep learning for spectral analysis in high-temperature environments. In addition, Gradient-weighted Class Activation Mapping (Grad-CAM) was applied to enhance model interpretability and identify key spectral regions contributing to classification decisions. The results demonstrated that the model successfully distinguished spectral features associated with different mineral species, offering insights into combustion dynamics. These findings support the potential integration of deep learning for real-time spectral monitoring in industrial flash smelting operations, thereby enabling more precise process control and decision-making.</jats:p>",Carlos Toro; Walter Díaz; Gonzalo Reyes; Miguel Peña; Nicolás Caselli; Carla Taramasco; Pablo Ormeño-Arriagada; Eduardo Balladares,8,3,NA,35,Machine Learning
Big Data and Cognitive Computing,Introducing a Novel Fast Neighbourhood Component Analysis–Deep Neural Network Model for Enhanced Driver Drowsiness Detection,2025-5-8,2025,10.3390/bdcc9050126,https://doi.org/10.3390/bdcc9050126,"<jats:p>Driver fatigue is a key factor in road accidents worldwide, requiring effective real-time detection mechanisms. Traditional deep neural network (DNN)-based solutions have shown promising results in detecting drowsiness; however, they are often less suitable for real-time applications due to their high computational complexity, risk of overfitting, and reliance on large datasets. Hence, this paper introduces an innovative approach that integrates fast neighbourhood component analysis (FNCA) with a deep neural network (DNN) to enhance the detection of driver drowsiness using electroencephalogram (EEG) data. FNCA is employed to optimize feature representation, effectively highlighting critical features for drowsiness detection, which are then analysed using a DNN to achieve high accuracy in recognizing signs of driver fatigue. Our model has been evaluated on the SEED-VIG dataset and achieves state-of-the-art accuracy: 94.29% when trained on 12 subjects and 90.386% with 21 subjects, surpassing existing methods such as TSception, ConvNeXt LMDA-Net, and CNN + LSTM.</jats:p>",Sama Hussein Al-Gburi; Kanar Alaa Al-Sammak; Ion Marghescu; Claudia Cristina Oprea; Ana-Maria Claudia Drăgulinescu; George Suciu; Khattab M. Ali Alheeti; Nayef A. M. Alduais; Nawar Alaa Hussein Al-Sammak,9,3,NA,47,Machine Learning
