pagina,url,texto_bloque_articulo,doi,estado_publicacion_listado,fecha_publicacion_listado_texto,fecha_publicacion_listado,year_publicacion_listado,views_text,downloads
2,https://www.frontiersin.org/journals/bioinformatics/articles/10.3389/fbinf.2025.1708311/full,"Perspective

Published on 24 Oct 2025

Why science needs art

in Data Visualization

Giulia Ghisleni
Christian Stolte
Megan Gozzard
Lea Von Soosten
Antonia Bruno
Frontiers in Bioinformatics
doi 10.3389/fbinf.2025.1708311
3,229 views",10.3389/fbinf.2025.1708311,Published on,24 Oct 2025,2025-10-24,2025,"3,229 views",3229
2,https://www.frontiersin.org/journals/bioinformatics/articles/10.3389/fbinf.2025.1674791/full,"Original Research

Published on 24 Oct 2025

Unraveling the molecular basis of snake venom nerve growth factor: human TrkA recognition through molecular dynamics simulation and comparison with human nerve growth factor

in Protein Bioinformatics

Shrudhi Devi
Gurunathan Jayaraman
Frontiers in Bioinformatics
doi 10.3389/fbinf.2025.1674791
1,797 views
1 citation",10.3389/fbinf.2025.1674791,Published on,24 Oct 2025,2025-10-24,2025,"1,797 views",1797
2,https://www.frontiersin.org/journals/bioinformatics/articles/10.3389/fbinf.2025.1666716/full,"Original Research

Published on 23 Oct 2025

Drug repositioning pipeline integrating community analysis in drug-drug similarity networks and automated ATC community labeling to foster molecular docking analysis

in Network Bioinformatics

Daiana Colibăşanu
Vlad Groza
Maria Antonietta Occhiuzzi
Fedora Grande
Mihai Udrescu
Lucreția Udrescu
Frontiers in Bioinformatics
doi 10.3389/fbinf.2025.1666716
2,109 views
1 citation",10.3389/fbinf.2025.1666716,Published on,23 Oct 2025,2025-10-23,2025,"2,109 views",2109
2,https://www.frontiersin.org/journals/bioinformatics/articles/10.3389/fbinf.2025.1651623/full,"Original Research

Published on 22 Oct 2025

Inferred global dense residue transition graphs from primary structure sequences enable protein interaction prediction via directed graph convolutional neural networks

in Integrative Bioinformatics

Islam Akef Ebeid
Haoteng Tang
Pengfei Gu
Frontiers in Bioinformatics
doi 10.3389/fbinf.2025.1651623
1,869 views
1 citation",10.3389/fbinf.2025.1651623,Published on,22 Oct 2025,2025-10-22,2025,"1,869 views",1869
2,https://www.frontiersin.org/journals/bioinformatics/articles/10.3389/fbinf.2025.1649337/full,"Original Research

Published on 21 Oct 2025

Enhancing drug-target interaction prediction with graph representation learning and knowledge-based regularization

in Drug Discovery in Bioinformatics

Qihuan Yao
Zhen Chen
Ye Cao
Huijing Hu
Frontiers in Bioinformatics
doi 10.3389/fbinf.2025.1649337
2,637 views
3 citations",10.3389/fbinf.2025.1649337,Published on,21 Oct 2025,2025-10-21,2025,"2,637 views",2637
2,https://www.frontiersin.org/journals/bioinformatics/articles/10.3389/fbinf.2025.1669237/full,"Original Research

Published on 20 Oct 2025

Fish isoallergens and variants: database compilation, in silico allergenicity prediction challenges, and epitope-based threshold optimization

in Protein Bioinformatics

Vachiranee Limviphuvadh
Thimo Ruethers
Minh N. Nguyen
Dean R. Jerry
Benjamin P. C. Smith
Yulan Wang
Yansong Miao
Anand Kumar Andiappan
Andreas L. Lopata
Sebastian Maurer-Stroh
Frontiers in Bioinformatics
doi 10.3389/fbinf.2025.1669237
2,701 views",10.3389/fbinf.2025.1669237,Published on,20 Oct 2025,2025-10-20,2025,"2,701 views",2701
2,https://www.frontiersin.org/journals/bioinformatics/articles/10.3389/fbinf.2025.1622931/full,"Original Research

Published on 16 Oct 2025

CoMPHI: a novel composite machine learning approach utilizing multiple feature representation to predict hosts of bacteriophages

in Genomic Analysis

Shreyashi Bodaka
Narasaiah Kolliputi
Frontiers in Bioinformatics
doi 10.3389/fbinf.2025.1622931
1,731 views",10.3389/fbinf.2025.1622931,Published on,16 Oct 2025,2025-10-16,2025,"1,731 views",1731
2,https://www.frontiersin.org/journals/bioinformatics/articles/10.3389/fbinf.2025.1687687/full,"Original Research

Published on 15 Oct 2025

Multimodal knowledge expansion widget powered by plant protein phosphorylation database and ChatGPT

in Integrative Bioinformatics

Chunhui Xu
Yang Yu
Govardhan Khadakkar
Jiacheng Xie
Dong Xu
Qiuming Yao
Frontiers in Bioinformatics
doi 10.3389/fbinf.2025.1687687
2,103 views
1 citation",10.3389/fbinf.2025.1687687,Published on,15 Oct 2025,2025-10-15,2025,"2,103 views",2103
2,https://www.frontiersin.org/journals/bioinformatics/articles/10.3389/fbinf.2025.1609004/full,"Original Research

Published on 10 Oct 2025

Analysis of breast region segmentation in thermal images using U-Net deep neural network variants

in Computational BioImaging

Rafhanah Shazwani Rosli
Mohamed Hadi Habaebi
Md Rafiqul Islam
Mohammed Abdulla Salim Al Hussaini
Frontiers in Bioinformatics
doi 10.3389/fbinf.2025.1609004
1,953 views
1 citation",10.3389/fbinf.2025.1609004,Published on,10 Oct 2025,2025-10-10,2025,"1,953 views",1953
2,https://www.frontiersin.org/journals/bioinformatics/articles/10.3389/fbinf.2025.1629526/full,"Original Research

Published on 08 Oct 2025

Unveiling the impact of interferon genes on the immune microenvironment of triple-negative breast cancer: identification of therapeutic targets

in RNA Bioinformatics

Ying Liu
Jiayi Cai
Aamir Fahira
Kai Zhuang
Jiaojiao Wang
Zhi Zhang
Lin Yan
Yong Liu
Defang Ouyang
Zunnan Huang
Frontiers in Bioinformatics
doi 10.3389/fbinf.2025.1629526
2,832 views",10.3389/fbinf.2025.1629526,Published on,08 Oct 2025,2025-10-08,2025,"2,832 views",2832
2,https://www.frontiersin.org/journals/bioinformatics/articles/10.3389/fbinf.2025.1623488/full,"Brief Research Report

Published on 02 Oct 2025

Optimizing clustering of CDR3 sequences using natural language processing, Word2Vec, and KMeans

in Integrative Bioinformatics

Sanskriti Baranwal
Ricardo Avila Sanchez
Clement-Andi Edet
Erick Chastain
Inimary Toby
Frontiers in Bioinformatics
doi 10.3389/fbinf.2025.1623488
2,398 views",10.3389/fbinf.2025.1623488,Published on,02 Oct 2025,2025-10-02,2025,"2,398 views",2398
2,https://www.frontiersin.org/journals/bioinformatics/articles/10.3389/fbinf.2025.1642039/full,"Original Research

Published on 30 Sep 2025

Discovering molecules and plants with potential activity against gastric cancer: an in silico ensemble-based modeling analysis

in Drug Discovery in Bioinformatics

Micaela Villacrés
Alec Avila
Karina Jimenes-Vargas
António Machado
José M. Alvarez-Suarez
Eduardo Tejera
Frontiers in Bioinformatics
doi 10.3389/fbinf.2025.1642039
2,977 views",10.3389/fbinf.2025.1642039,Published on,30 Sep 2025,2025-09-30,2025,"2,977 views",2977
2,https://www.frontiersin.org/journals/bioinformatics/articles/10.3389/fbinf.2025.1514880/full,"Technology and Code

Published on 30 Sep 2025

EPheClass: ensemble-based phenotype classifier from 16S rRNA gene sequences

in Integrative Bioinformatics

Lara Vázquez-González
Carlos Peña-Reyes 
Alba Regueira-Iglesias 
Carlos Balsa-Castro
Inmaculada Tomás
María J. Carreira
Frontiers in Bioinformatics
doi 10.3389/fbinf.2025.1514880
1,888 views",10.3389/fbinf.2025.1514880,Published on,30 Sep 2025,2025-09-30,2025,"1,888 views",1888
2,https://www.frontiersin.org/journals/bioinformatics/articles/10.3389/fbinf.2025.1664576/full,"Original Research

Published on 25 Sep 2025

Integrative machine learning and transcriptomic analysis identifies key molecular targets in MNPN-associated oral squamous cell carcinoma pathogenesis

in Network Bioinformatics

Xiangjun Wang
Panpan Jin
Juan Xu
Junyi Li
Mengzhen Ji
Frontiers in Bioinformatics
doi 10.3389/fbinf.2025.1664576
2,320 views
1 citation",10.3389/fbinf.2025.1664576,Published on,25 Sep 2025,2025-09-25,2025,"2,320 views",2320
2,https://www.frontiersin.org/journals/bioinformatics/articles/10.3389/fbinf.2025.1666573/full,"Original Research

Published on 24 Sep 2025

Computational drug repurposing reveals Alectinib as a potential lead targeting Cathepsin S for therapeutic developments against cancer and chronic pain

in Drug Discovery in Bioinformatics

Mohammed Alrouji
Mohammed S. Alshammari
Sharif Alhajlah
Syed Tasqeeruddin
Khuzin Dinislam
Anas Shamsi
Saleha Anwar
Frontiers in Bioinformatics
doi 10.3389/fbinf.2025.1666573
2,979 views
1 citation",10.3389/fbinf.2025.1666573,Published on,24 Sep 2025,2025-09-24,2025,"2,979 views",2979
3,https://www.frontiersin.org/journals/bioinformatics/articles/10.3389/fbinf.2025.1633494/full,"Brief Research Report

Published on 22 Sep 2025

Association between dysregulated expression of Ca2+ and ROS-related genes and breast cancer patient survival

in RNA Bioinformatics

Sofia Ramos
João Gregório
Ana Sofia Fernandes
Nuno Saraiva
Frontiers in Bioinformatics
doi 10.3389/fbinf.2025.1633494
1,608 views",10.3389/fbinf.2025.1633494,Published on,22 Sep 2025,2025-09-22,2025,"1,608 views",1608
3,https://www.frontiersin.org/journals/bioinformatics/articles/10.3389/fbinf.2025.1645785/full,"Original Research

Published on 22 Sep 2025

Extracting a COVID-19 signature from a multi-omic dataset

in Integrative Bioinformatics

Baptiste Bauvin
Thibaud Godon
Guillaume Bachelot
Claudia Carpentier
Riikka Huusaari
Maxime Deraspe
Juho Rousu
Caroline Quach
Jacques Corbeil
Frontiers in Bioinformatics
doi 10.3389/fbinf.2025.1645785
2,244 views
1 citation",10.3389/fbinf.2025.1645785,Published on,22 Sep 2025,2025-09-22,2025,"2,244 views",2244
3,https://www.frontiersin.org/journals/bioinformatics/articles/10.3389/fbinf.2025.1613761/full,"Original Research

Published on 19 Sep 2025

Interpretable artificial intelligence based on immunoregulation-related genes predicts prognosis and immunotherapy response in lung adenocarcinoma

in Genomic Analysis

Minghao Wang
Yu Wang
Yitong Li
Chengyi Zhang
Canjun Li
Nan Bi
Frontiers in Bioinformatics
doi 10.3389/fbinf.2025.1613761
2,858 views
2 citations",10.3389/fbinf.2025.1613761,Published on,19 Sep 2025,2025-09-19,2025,"2,858 views",2858
3,https://www.frontiersin.org/journals/bioinformatics/articles/10.3389/fbinf.2025.1567748/full,"Original Research

Published on 19 Sep 2025

Identification and therapeutic investigation of biomarker genes underpinning hepatocellular carcinoma: an in silico study utilising molecular docking and dynamics simulation

in Integrative Bioinformatics

Jishnu Ghosh
Abdullah M. Alshahrani
Aritra Palodhi
Debarghya Bhattacharyya
Subhadip Das
Sunil Kanti Mondal
Abul Kalam
S. Rehan Ahmad
Chittabrata Mal
Frontiers in Bioinformatics
doi 10.3389/fbinf.2025.1567748
4,149 views",10.3389/fbinf.2025.1567748,Published on,19 Sep 2025,2025-09-19,2025,"4,149 views",4149
